Sample_ID,Batch_Code,Product_Name,Test_Date,Moisture_Content_%,Fat_Content_%,Protein_Content_%,Water_Activity_Aw,Acid_Insoluble_Ash_%,Acid_Value_mgKOHg,Peroxide_Value,Total_Plate_Count_CFUg,Yeast_Mold_Count_CFUg,Lead_Pb_mgkg,Cadmium_Cd_mgkg,Failure_Category,Historical_Status
SPL-2026-0409,B-250101-4,Wafer Vanilla,2025-01-01,3.23,19.1,9.95,0.543,0.058,1.61,1.34,5670,2232,0.045,0.098,None,Pass
SPL-2026-0949,B-250101-5,Wafer Vanilla,2025-01-01,1.23,17.81,4.76,0.375,0.045,1.13,1.05,5847,272,0.014,0.018,None,Pass
SPL-2026-0482,B-250101-7,Cookies Choco Chip,2025-01-01,3.69,16.93,,0.62,0.058,0.68,1.07,27579,162,0.363,0.162,None,Pass
SPL-2026-0488,B-250101-1,Cracker Plain,2025-01-01,2.69,11.1,7.07,0.505,0.071,1.69,1.27,1447,99,0.015,0.001,None,Pass
SPL-2026-0996,B-250102-6,Cracker Filled,2025-01-02,3.69,26.64,7.41,0.557,0.015,1.89,1.8,780,1397,0.509,0.039,Heavy_Metal,Fail
SPL-2026-0739,B-250102-4,Cookies Choco Chip,2025-01-02,3.38,,5.54,0.585,0.028,1.39,1.25,47179,238,0.04,0.018,None,Pass
SPL-2026-0913,B-250102-4,Sandwich Biscuit,2025-01-02,3.49,14.02,6.39,0.519,0.029,0.48,,8787,2050,0.29,0.108,None,Pass
SPL-2026-0237,B-250103-2,Cracker Filled,2025-01-03,3.13,15.55,7.65,0.547,0.061,0.72,1.24,2960,550,0.078,0.017,None,Pass
SPL-2026-0294,B-250103-6,Sandwich Biscuit,2025-01-03,3.03,20.65,4.21,0.527,0.005,0.99,1.1,6682,1129,0.075,0.022,Physicochemical,Fail
SPL-2026-0550,B-250103-2,Cracker Filled,2025-01-03,4.23,22.08,6.98,0.652,0.05,0.24,0.69,50742,3624,0.054,0.044,Microbiological,Fail
SPL-2026-0622,B-250103-4,Cracker Plain,2025-01-03,3.99,21.01,5.48,0.576,0.023,0.96,1.4,3743,3500,0.139,0.129,None,Pass
SPL-2026-0190,B-250104-5,Sandwich Biscuit,2025-01-04,2.91,18.18,6.12,0.583,0.022,1.45,0.22,132,7929,0.276,0.122,None,Pass
SPL-2026-0175,B-250105-2,Cracker Filled,2025-01-05,3.88,17.4,7.0,,0.123,0.89,0.92,4294,187,0.169,0.02,Physicochemical,Fail
SPL-2026-0279,B-250105-3,Butter Biscuit,2025-01-05,,15.64,7.8,0.574,0.001,0.42,0.85,2556,864,0.121,0.187,None,Pass
SPL-2026-0807,B-250105-3,Cracker Plain,2025-01-05,4.21,15.2,4.09,0.546,0.021,1.31,0.77,1697,469,0.122,0.022,Physicochemical,Fail
SPL-2026-0532,B-250106-7,Marie Biscuit,2025-01-06,4.15,14.38,6.39,0.672,0.033,0.81,1.82,1630,491,0.022,0.001,None,Pass
SPL-2026-0070,B-250106-4,Cracker Plain,2025-01-06,4.22,17.61,8.79,0.613,0.032,0.84,0.79,6735,3499,0.233,0.006,None,Pass
SPL-2026-0763,B-250106-3,Wafer Vanilla,2025-01-06,3.69,29.45,8.67,0.532,0.021,1.01,1.63,1071,1423,0.369,0.015,None,Pass
SPL-2026-0682,B-250107-1,Butter Biscuit,2025-01-07,3.27,30.09,2.5,0.635,0.115,0.62,0.94,4715,4185,0.113,0.002,Physicochemical,Fail
SPL-2026-0121,B-250108-7,Cracker Plain,2025-01-08,4.79,20.26,5.94,0.651,,0.78,,1869,3316,0.046,0.174,None,Pass
SPL-2026-0038,B-250108-1,Cookies Choco Chip,2025-01-08,2.45,21.78,3.06,0.405,0.023,1.29,0.99,1880,1290,0.015,0.042,Physicochemical,Fail
SPL-2026-0624,B-250109-8,Sandwich Biscuit,2025-01-09,3.76,16.7,6.15,,0.021,1.46,1.21,11902,770,0.051,0.029,None,Pass
SPL-2026-0366,B-250110-1,Cracker Plain,2025-01-10,4.27,17.1,5.46,0.631,0.039,0.05,0.67,1591,682,0.027,0.175,None,Pass
SPL-2026-0652,B-250110-8,Cracker Filled,2025-01-10,4.1,19.95,6.12,0.655,0.001,1.66,1.22,7398,1184,0.121,0.225,Heavy_Metal,Fail
SPL-2026-0594,B-250111-1,Wafer Vanilla,2025-01-11,6.46,16.1,5.33,,0.008,1.48,1.18,3773,1425,0.168,0.105,Physicochemical,Fail
SPL-2026-0167,B-250112-3,Sandwich Biscuit,2025-01-12,1.26,18.16,5.64,0.404,0.09,0.86,0.33,1367,463,0.316,0.001,None,Pass
SPL-2026-0529,B-250112-1,Wafer Vanilla,2025-01-12,2.79,22.19,5.71,0.508,0.008,0.37,0.5,2630,118,0.462,0.052,None,Pass
SPL-2026-0744,B-250113-8,Marie Biscuit,2025-01-13,4.2,25.42,4.6,0.662,0.005,0.79,1.32,43945,1053,0.032,0.133,None,Pass
SPL-2026-0783,B-250113-7,Butter Biscuit,2025-01-13,2.21,14.33,7.76,0.456,,0.05,0.95,144,200,0.006,0.01,None,Pass
SPL-2026-0399,B-250114-3,Marie Biscuit,2025-01-14,3.99,16.57,,0.599,0.014,1.25,1.51,2451,5333,0.145,0.02,None,Pass
SPL-2026-0180,B-250114-4,Cracker Plain,2025-01-14,3.4,13.29,5.53,0.538,0.005,1.26,,1604,281,0.085,0.07,None,Pass
SPL-2026-0493,B-250116-8,Cookies Choco Chip,2025-01-16,1.82,17.77,6.38,0.405,0.073,1.39,1.34,746,605,0.008,0.037,None,Pass
SPL-2026-0300,B-250116-8,Butter Biscuit,2025-01-16,3.67,11.75,5.63,0.606,0.011,1.42,1.3,3222,429,0.224,0.003,None,Pass
SPL-2026-0944,B-250117-2,Cracker Plain,2025-01-17,2.9,23.41,6.51,0.543,0.027,2.6,2.02,795,3146,0.235,0.036,Stability,Fail
SPL-2026-0536,B-250117-8,Marie Biscuit,2025-01-17,3.99,15.62,8.22,0.586,0.044,0.81,1.6,4434,2808,0.177,0.027,None,Pass
SPL-2026-0590,B-250117-3,Cookies Choco Chip,2025-01-17,2.48,18.21,8.13,0.516,0.009,,1.3,2868,482,0.035,0.024,None,Pass
SPL-2026-0869,B-250117-7,Cracker Plain,2025-01-17,3.77,19.99,7.34,0.569,0.017,1.65,1.69,473,1705,0.006,0.048,None,Pass
SPL-2026-0683,B-250119-4,Wafer Vanilla,2025-01-19,6.3,19.0,5.72,0.811,,1.51,1.65,2487,1849,0.351,0.075,Physicochemical,Fail
SPL-2026-0266,B-250120-1,Cracker Filled,2025-01-20,3.7,22.85,8.31,0.572,0.002,1.66,1.32,599,921,0.098,0.077,None,Pass
SPL-2026-0446,B-250120-8,Cracker Filled,2025-01-20,2.44,26.56,8.48,0.471,0.003,0.52,0.91,5068,410,0.326,0.026,None,Pass
SPL-2026-0909,B-250120-2,Sandwich Biscuit,2025-01-20,2.72,17.52,6.51,0.504,0.026,1.35,0.87,6753,585,0.178,0.123,None,Pass
SPL-2026-0240,B-250123-8,Cracker Filled,2025-01-23,3.8,13.71,6.51,0.566,0.031,,0.54,4089,730,0.254,0.029,None,Pass
SPL-2026-0019,B-250123-6,Cookies Choco Chip,2025-01-23,3.21,21.98,7.71,0.562,0.047,0.9,0.74,594,800,0.004,0.074,None,Pass
SPL-2026-0099,B-250123-7,Cracker Filled,2025-01-23,4.41,20.03,7.77,0.69,0.001,0.93,1.09,3453,415,0.062,0.007,None,Pass
SPL-2026-0452,B-250123-8,Wafer Vanilla,2025-01-23,4.11,26.48,7.3,0.677,0.005,1.46,1.22,11389,19567,0.1,0.008,Microbiological,Fail
SPL-2026-0871,B-250124-3,Cracker Plain,2025-01-24,2.7,24.43,7.12,0.493,0.041,2.44,2.65,2733,50,0.208,0.19,Stability,Fail
SPL-2026-0110,B-250125-3,Cracker Filled,2025-01-25,2.01,20.98,7.21,0.445,0.052,0.64,0.05,8948,2663,0.009,0.078,None,Pass
SPL-2026-0806,B-250125-8,Cookies Choco Chip,2025-01-25,4.39,16.33,6.33,0.657,0.009,0.69,,24683,9204,0.012,0.286,Heavy_Metal,Fail
SPL-2026-0463,B-250126-4,Cookies Choco Chip,2025-01-26,1.68,14.14,6.8,0.363,0.009,1.54,0.74,519,134,0.048,0.021,None,Pass
SPL-2026-0526,B-250126-3,Sandwich Biscuit,2025-01-26,3.31,15.82,7.17,,0.075,0.37,,5128,114,0.033,0.005,None,Pass
SPL-2026-0781,B-250126-3,Wafer Vanilla,2025-01-26,4.83,18.11,7.86,0.718,0.018,0.48,0.34,9969,549,0.608,0.179,Heavy_Metal,Fail
