Sample_ID,Batch_Code,Product_Name,Test_Date,Moisture_Content_%,Fat_Content_%,Protein_Content_%,Water_Activity_Aw,Acid_Insoluble_Ash_%,Acid_Value_mgKOHg,Peroxide_Value,Total_Plate_Count_CFUg,Yeast_Mold_Count_CFUg,Lead_Pb_mgkg,Cadmium_Cd_mgkg,Failure_Category,Historical_Status
SPL-2026-3086,B-250101-2,Cookies Choco Chip,2025-01-01,3.15,15.78,7.04,0.783,0.078,1.15,1.01,46562.0,,0.11,0.033,Microbiological,Fail
SPL-2026-4799,B-250101-3,Marie Biscuit,2025-01-01,6.63,25.59,7.96,0.529,0.076,2.83,1.85,,7364.0,0.265,0.079,Stability,Fail
SPL-2026-4808,B-250101-8,Cracker Plain,2025-01-01,5.0,13.49,3.07,0.674,0.116,0.0,0.95,50,,0.429,0.079,Physicochemical,Fail
SPL-2026-7476,B-250101-5,Sandwich Biscuit,2025-01-01,5.28,21.12,5.6,0.677,0.22,0.66,0.92,19077.0,452.0,0.098,0.078,Physicochemical,Fail
SPL-2026-9982,B-250101-8,Cracker Plain,2025-01-01,1.98,17.26,6.22,0.499,0.048,0.64,1.11,50,10,0.459,0.0,None,Pass
SPL-2026-3172,B-250102-2,Butter Biscuit,2025-01-02,6.79,23.14,1.81,0.675,,1.24,1.53,,1851.0,0.058,,Physicochemical,Fail
SPL-2026-9457,B-250102-2,Sandwich Biscuit,2025-01-02,3.87,17.73,6.99,0.57,0.007,2.37,1.58,5235.0,2430.0,0.165,0.125,None,Pass
SPL-2026-1252,B-250103-3,Wafer Vanilla,2025-01-03,3.51,12.26,7.38,0.622,0.073,0.97,1.36,50,2167.0,0.13,0.041,None,Pass
SPL-2026-1534,B-250104-8,Butter Biscuit,2025-01-04,3.71,13.23,5.3,0.664,0.018,1.62,0.93,65098.0,25564.0,0.126,0.017,Microbiological,Fail
SPL-2026-1710,B-250104-7,Wafer Vanilla,2025-01-04,4.58,21.46,6.41,0.356,,1.28,0.0,9636.0,1210.0,0.396,0.103,None,Pass
SPL-2026-3297,B-250104-7,Cracker Plain,2025-01-04,4.46,15.27,5.8,0.558,0.04,0.0,0.98,37124.0,10,0.148,0.006,None,Pass
SPL-2026-3570,B-250104-6,Cookies Choco Chip,2025-01-04,2.83,18.1,7.39,0.555,0.077,1.77,1.55,50,10,0.167,0.0,None,Pass
SPL-2026-4719,B-250104-2,Cracker Plain,2025-01-04,2.08,14.45,7.59,0.78,0.0,1.49,2.58,63831.0,18090.0,0.16,0.212,Microbiological,Fail
SPL-2026-5121,B-250104-7,Cookies Choco Chip,2025-01-04,4.0,18.32,7.63,0.58,0.01,2.59,2.21,23373.0,771.0,0.151,0.137,Stability,Fail
SPL-2026-5981,B-250104-6,Wafer Vanilla,2025-01-04,5.22,22.93,7.56,0.496,0.111,2.01,1.89,12479.0,5808.0,0.057,0.048,Stability,Fail
SPL-2026-7664,B-250104-4,Marie Biscuit,2025-01-04,5.52,16.3,5.22,0.574,0.066,1.16,0.95,660.0,933.0,0.158,0.0,None,Pass
SPL-2026-0166,B-250105-5,Cracker Plain,2025-01-05,4.5,10.83,1.61,0.684,0.082,,1.09,6522.0,10,0.125,0.095,Physicochemical,Fail
SPL-2026-4675,B-250105-5,Cracker Plain,2025-01-05,3.67,19.13,8.99,,0.121,0.14,1.27,8890.0,8055.0,0.361,0.097,None,Pass
SPL-2026-4179,B-250106-6,Cracker Filled,2025-01-06,,23.86,5.62,0.592,0.017,2.89,2.58,50,1093.0,0.073,0.107,Stability,Fail
SPL-2026-8954,B-250106-3,Cookies Choco Chip,2025-01-06,4.68,22.78,6.57,0.487,0.066,1.16,1.41,12853.0,487.0,0.0,0.0,None,Pass
SPL-2026-3902,B-250107-6,Cookies Choco Chip,2025-01-07,2.66,21.16,8.68,0.479,0.037,,2.36,17016.0,4526.0,0.452,0.234,Heavy_Metal,Fail
SPL-2026-4465,B-250107-4,Cookies Choco Chip,2025-01-07,4.97,28.81,8.51,0.363,0.038,1.79,2.12,22166.0,563.0,0.0,0.055,None,Pass
SPL-2026-7832,B-250107-5,Cracker Filled,2025-01-07,1.97,18.54,9.21,0.416,0.052,0.54,0.61,50,529.0,0.454,0.0,None,Pass
SPL-2026-8818,B-250107-8,Marie Biscuit,2025-01-07,2.2,14.32,6.97,0.418,0.029,0.78,0.9,2665.0,3379.0,0.162,0.183,None,Pass
SPL-2026-9177,B-250107-2,Cracker Plain,2025-01-07,1.73,23.77,6.06,0.52,0.048,1.58,0.98,20543.0,3171.0,0.233,0.147,None,Pass
SPL-2026-3783,B-250108-2,Butter Biscuit,2025-01-08,5.2,17.29,6.84,0.658,0.043,2.58,2.72,3232.0,2860.0,0.083,0.157,Stability,Fail
SPL-2026-6485,B-250108-6,Wafer Vanilla,2025-01-08,3.31,24.83,,0.477,0.054,1.13,0.2,3655.0,10,0.115,0.018,None,Pass
SPL-2026-6879,B-250108-8,Butter Biscuit,2025-01-08,1.7,17.73,7.0,0.47,0.007,1.64,0.88,7055.0,2429.0,0.069,0.123,None,Pass
SPL-2026-8833,B-250108-6,Cracker Plain,2025-01-08,,19.69,7.21,0.401,0.0,,2.32,,10,0.033,0.042,Stability,Fail
SPL-2026-9548,B-250109-7,Wafer Vanilla,2025-01-09,5.89,,2.63,0.639,0.087,1.21,0.97,30215.0,20533.0,0.248,0.024,Microbiological,Fail
SPL-2026-7284,B-250110-4,Sandwich Biscuit,2025-01-10,3.44,18.34,5.55,0.573,0.019,1.72,1.25,40544.0,2517.0,0.49,0.313,Heavy_Metal,Fail
SPL-2026-7292,B-250110-1,Sandwich Biscuit,2025-01-10,3.59,17.12,6.87,0.545,0.027,1.72,1.82,12656.0,,0.425,0.15,Heavy_Metal,Fail
SPL-2026-7453,B-250110-5,Wafer Vanilla,2025-01-10,2.83,13.31,9.43,0.579,0.0,,0.66,50,2859.0,0.375,0.027,None,Pass
SPL-2026-0511,B-250111-6,Cracker Filled,2025-01-11,6.15,19.34,,0.6,0.114,,0.79,8129.0,1150.0,0.208,0.024,Physicochemical,Fail
SPL-2026-0923,B-250111-5,Cracker Filled,2025-01-11,5.47,19.78,3.38,,0.138,2.12,0.6,10688.0,2783.0,0.091,0.116,Physicochemical,Fail
SPL-2026-4129,B-250111-4,Cracker Filled,2025-01-11,2.7,25.09,6.68,0.624,0.041,2.06,0.12,17184.0,84.0,0.016,0.078,None,Pass
SPL-2026-5547,B-250111-7,Wafer Vanilla,2025-01-11,3.14,18.55,5.7,0.604,0.0,1.38,1.58,,6730.0,0.004,0.048,None,Pass
SPL-2026-8842,B-250111-3,Wafer Vanilla,2025-01-11,1.51,17.13,7.36,0.499,0.0,1.89,0.95,50,12327.0,0.109,0.065,None,Pass
