Moisture_Content_%,Fat_Content_%,Protein_Content_%,Water_Activity_Aw,Acid_Insoluble_Ash_%,Acid_Value_mgKOHg,Peroxide_Value,Total_Plate_Count_CFUg,Yeast_Mold_Count_CFUg,Lead_Pb_mgkg,Cadmium_Cd_mgkg,Historical_Status,Product_Butter Biscuit,Product_Cookies Choco Chip,Product_Cracker Filled,Product_Cracker Plain,Product_Marie Biscuit,Product_Sandwich Biscuit,Product_Wafer Vanilla
3.23,19.1,9.95,0.543,0.058,1.61,1.34,5670,2232,0.045,0.098,0,False,False,False,False,False,False,True
1.23,17.81,4.76,0.375,0.045,1.13,1.05,5847,272,0.014,0.018,0,False,False,False,False,False,False,True
3.69,16.93,7.428142570210614,0.62,0.058,0.68,1.07,27579,162,0.363,0.162,0,False,True,False,False,False,False,False
2.69,11.1,7.07,0.505,0.071,1.69,1.27,1447,99,0.015,0.001,0,False,False,False,True,False,False,False
3.69,26.64,7.41,0.557,0.015,1.89,1.8,780,1397,0.509,0.039,1,False,False,True,False,False,False,False
3.38,15.758571012507637,5.54,0.585,0.028,1.39,1.25,47179,238,0.04,0.018,0,False,True,False,False,False,False,False
3.49,14.02,6.39,0.519,0.029,0.48,0.6307189912881007,8787,2050,0.29,0.108,0,False,False,False,False,False,True,False
3.13,15.55,7.65,0.547,0.061,0.72,1.24,2960,550,0.078,0.017,0,False,False,True,False,False,False,False
3.03,20.65,4.21,0.527,0.005,0.99,1.1,6682,1129,0.075,0.022,1,False,False,False,False,False,True,False
4.23,22.08,6.98,0.652,0.05,0.24,0.69,50742,3624,0.054,0.044,1,False,False,True,False,False,False,False
3.99,21.01,5.48,0.576,0.023,0.96,1.4,3743,3500,0.139,0.129,0,False,False,False,True,False,False,False
2.91,18.18,6.12,0.583,0.022,1.45,0.22,132,7929,0.276,0.122,0,False,False,False,False,False,True,False
3.88,17.4,7.0,0.612202209760385,0.123,0.89,0.92,4294,187,0.169,0.02,1,False,False,True,False,False,False,False
3.9092833357137873,15.64,7.8,0.574,0.001,0.42,0.85,2556,864,0.121,0.187,0,True,False,False,False,False,False,False
4.21,15.2,4.09,0.546,0.021,1.31,0.77,1697,469,0.122,0.022,1,False,False,False,True,False,False,False
4.15,14.38,6.39,0.672,0.033,0.81,1.82,1630,491,0.022,0.001,0,False,False,False,False,True,False,False
4.22,17.61,8.79,0.613,0.032,0.84,0.79,6735,3499,0.233,0.006,0,False,False,False,True,False,False,False
3.69,29.45,8.67,0.532,0.021,1.01,1.63,1071,1423,0.369,0.015,0,False,False,False,False,False,False,True
3.27,30.09,2.5,0.635,0.115,0.62,0.94,4715,4185,0.113,0.002,1,True,False,False,False,False,False,False
4.79,20.26,5.94,0.651,0.04908510803814555,0.78,0.8311632010899421,1869,3316,0.046,0.174,0,False,False,False,True,False,False,False
2.45,21.78,3.06,0.405,0.023,1.29,0.99,1880,1290,0.015,0.042,1,False,True,False,False,False,False,False
3.76,16.7,6.15,0.5622457230760917,0.021,1.46,1.21,11902,770,0.051,0.029,0,False,False,False,False,False,True,False
4.27,17.1,5.46,0.631,0.039,0.05,0.67,1591,682,0.027,0.175,0,False,False,False,True,False,False,False
4.1,19.95,6.12,0.655,0.001,1.66,1.22,7398,1184,0.121,0.225,1,False,False,True,False,False,False,False
6.46,16.1,5.33,0.666997556556416,0.008,1.48,1.18,3773,1425,0.168,0.105,1,False,False,False,False,False,False,True
1.26,18.16,5.64,0.404,0.09,0.86,0.33,1367,463,0.316,0.001,0,False,False,False,False,False,True,False
2.79,22.19,5.71,0.508,0.008,0.37,0.5,2630,118,0.462,0.052,0,False,False,False,False,False,False,True
4.2,25.42,4.6,0.662,0.005,0.79,1.32,43945,1053,0.032,0.133,0,False,False,False,False,True,False,False
2.21,14.33,7.76,0.456,0.026357230425767174,0.05,0.95,144,200,0.006,0.01,0,True,False,False,False,False,False,False
3.99,16.57,6.090802059078802,0.599,0.014,1.25,1.51,2451,5333,0.145,0.02,0,False,False,False,False,True,False,False
3.4,13.29,5.53,0.538,0.005,1.26,1.1722163041375524,1604,281,0.085,0.07,0,False,False,False,True,False,False,False
1.82,17.77,6.38,0.405,0.073,1.39,1.34,746,605,0.008,0.037,0,False,True,False,False,False,False,False
3.67,11.75,5.63,0.606,0.011,1.42,1.3,3222,429,0.224,0.003,0,True,False,False,False,False,False,False
2.9,23.41,6.51,0.543,0.027,2.6,2.02,795,3146,0.235,0.036,1,False,False,False,True,False,False,False
3.99,15.62,8.22,0.586,0.044,0.81,1.6,4434,2808,0.177,0.027,0,False,False,False,False,True,False,False
2.48,18.21,8.13,0.516,0.009,1.3620140183443536,1.3,2868,482,0.035,0.024,0,False,True,False,False,False,False,False
3.77,19.99,7.34,0.569,0.017,1.65,1.69,473,1705,0.006,0.048,0,False,False,False,True,False,False,False
6.3,19.0,5.72,0.811,0.04627033568026101,1.51,1.65,2487,1849,0.351,0.075,1,False,False,False,False,False,False,True
3.7,22.85,8.31,0.572,0.002,1.66,1.32,599,921,0.098,0.077,0,False,False,True,False,False,False,False
2.44,26.56,8.48,0.471,0.003,0.52,0.91,5068,410,0.326,0.026,0,False,False,True,False,False,False,False
2.72,17.52,6.51,0.504,0.026,1.35,0.87,6753,585,0.178,0.123,0,False,False,False,False,False,True,False
3.8,13.71,6.51,0.566,0.031,0.9304135751190851,0.54,4089,730,0.254,0.029,0,False,False,True,False,False,False,False
3.21,21.98,7.71,0.562,0.047,0.9,0.74,594,800,0.004,0.074,0,False,True,False,False,False,False,False
4.41,20.03,7.77,0.69,0.001,0.93,1.09,3453,415,0.062,0.007,0,False,False,True,False,False,False,False
4.11,26.48,7.3,0.677,0.005,1.46,1.22,11389,19567,0.1,0.008,1,False,False,False,False,False,False,True
2.7,24.43,7.12,0.493,0.041,2.44,2.65,2733,50,0.208,0.19,1,False,False,False,True,False,False,False
2.01,20.98,7.21,0.445,0.052,0.64,0.05,8948,2663,0.009,0.078,0,False,False,True,False,False,False,False
4.39,16.33,6.33,0.657,0.009,0.69,1.056590549857087,24683,9204,0.012,0.286,1,False,True,False,False,False,False,False
1.68,14.14,6.8,0.363,0.009,1.54,0.74,519,134,0.048,0.021,0,False,True,False,False,False,False,False
3.31,15.82,7.17,0.5401149883637402,0.075,0.37,0.9966215354816417,5128,114,0.033,0.005,0,False,False,False,False,False,True,False
4.83,18.11,7.86,0.718,0.018,0.48,0.34,9969,549,0.608,0.179,1,False,False,False,False,False,False,True
2.83,16.72,6.9,0.539,0.063,0.82,1.19,2474,2058,0.001,0.026,0,False,False,False,False,False,False,True
3.64,18.86,5.98,0.539,0.027,1.51,1.21,5216,873,0.026,0.012,0,False,False,True,False,False,False,False
3.82,21.20727848440664,7.4,0.59,0.005,2.07,1.91,28268,208,0.112,0.094,1,True,False,False,False,False,False,False
2.64,20.97,5.42,0.504,0.007,1.62,1.64,884,112,0.328,0.038,0,False,False,False,False,True,False,False
4.73,20.33,4.4,0.656,0.027,1.01,0.88,2378,2959,0.153,0.045,1,False,False,False,False,False,True,False
4.15,16.33,7.07,0.624,0.072,2.16,1.1,5738,774,0.068,0.118,1,False,False,False,True,False,False,False
1.89,18.6,9.07,0.404,0.066,1.32,0.77,1386,117,0.202,0.06,0,False,False,False,False,False,False,True
4.51,15.75,6.52,0.704,0.003,1.08,0.76,2065,10398,0.031,0.07972727743252264,1,False,False,False,False,True,False,False
2.63,17.87,7.66,0.488,0.062,0.39,0.9702958550121659,751,121,0.086,0.036,0,False,False,False,True,False,False,False
2.66,18.8,5.99,0.462,0.018,0.89,1.46,1066,2362,0.392,0.007,0,False,False,False,True,False,False,False
4.6,13.11,7.02,0.655,0.108,1.6,1.33,1646,874,0.052,0.093,1,False,False,False,False,False,True,False
2.79,21.78,5.47,0.498,0.034,1.0265066231338333,1.16,172,457,0.355,0.137,0,False,False,True,False,False,False,False
4.05,16.25,6.85,0.669,0.048,0.62,0.73,10292,2952,0.226,0.005,0,False,False,False,True,False,False,False
1.22,19.02,7.34,0.363,0.028614832359186392,1.66,1.48,673,83,0.199,0.202,1,True,False,False,False,False,False,False
3.977536862258147,26.72,7.89,0.59,0.034,0.96,0.97,2652,1632,0.228,0.001,0,False,False,False,False,False,True,False
1.65,18.94,6.61,0.379,0.005,0.76,0.53,1668,181,0.235,0.057,0,False,False,False,True,False,False,False
4.47,18.06,4.6,0.597,0.016064793105181538,1.64,1.31,2269,3459,0.189,0.07866879390182677,0,False,False,False,False,True,False,False
4.33,15.36,8.19,0.631,0.003,0.2,0.33,6036,845,0.029,0.019,0,False,False,False,False,False,False,True
3.66,13.74,8.48,0.5871327281847861,0.032,0.05,0.13,16829,204,0.051,0.075,0,False,False,True,False,False,False,False
5.1,19.42,7.31,0.725,0.01,1.36,0.71,1751,95,0.054,0.08,1,True,False,False,False,False,False,False
3.25,18.646827887968673,7.02,0.575,0.043,0.05,0.96,13886,354,0.03,0.022,0,False,False,False,False,False,False,True
0.55,17.15,6.66,0.358,0.051,0.86,0.68,937,73,0.153,0.005,0,False,False,False,True,False,False,False
4.37,22.31,5.42,0.6319225189287878,0.013,2.33,1.85,3291,934,0.145,0.008,1,False,False,False,False,False,False,True
5.79,15.66,7.09,0.789,0.045,1.48,1.33,10872,2184,0.076,0.029,1,True,False,False,False,False,False,False
1.9,20.61,5.64,0.425,0.101,1.53,1.0,371,94,0.056,0.151,1,False,False,True,False,False,False,False
3.17,22.48,10.38,0.552,0.012,0.57,0.96,1198,772,0.016,0.149,0,False,False,False,False,True,False,False
4.16,21.11,6.43,0.6107453882130436,0.049,0.84,0.95,1702,2591,0.055,0.01,0,False,False,False,False,False,True,False
4.24,17.49,8.28,0.6350867910663809,0.119,0.56,0.49,4906,653,0.142,0.058190329248389155,1,False,False,False,False,True,False,False
2.5,12.56,7.7,0.467,0.003,1.28,1.0,256,242,0.113,0.027,0,False,True,False,False,False,False,False
3.37,13.24,6.94,0.546,0.035,0.6,0.31,508,5266,0.204,0.023,0,False,True,False,False,False,False,False
4.48,20.57,9.21,0.656,0.007,1.01,1.34,8553,1181,0.09424895562917442,0.079,0,False,False,False,False,False,True,False
1.92,19.25,6.65,0.426,0.014,0.21,0.48,1299,183,0.0965792693409901,0.03,0,False,False,False,True,False,False,False
4.1,16.02,4.82,0.634,0.013,1.13,1.46,3675,257,0.094,0.128,0,True,False,False,False,False,False,False
4.91,13.71,8.36,0.689,0.133,1.88,1.64,2772,380,0.121,0.129,1,False,False,False,False,False,False,True
2.97,17.12,9.1,0.506,0.078,1.34,1.12,4313,1170,0.403,0.207,1,False,False,False,False,False,True,False
1.49,21.36,5.75,0.338,0.003,0.48,1.04,31,137,0.22,0.065,0,False,True,False,False,False,False,False
4.43,19.14,4.93,0.633,0.027,1.91,1.59,5099,1821,0.135,0.238,1,False,False,False,False,False,False,True
3.45,25.19,7.78,0.589,0.024,1.16,1.33,1110,214,0.389,0.241,1,False,False,True,False,False,False,False
3.73,14.99,9.12,0.587,0.011,0.73,1.29,718,4292,0.098,0.044,0,False,False,False,False,True,False,False
2.01,18.15,6.52,0.429,0.08,0.2,0.4,575,93,0.013,0.006,0,True,False,False,False,False,False,False
4.03,18.96,6.712071949947892,0.672,0.019,0.9,0.78,5175,1791,0.203,0.149,0,False,False,False,False,True,False,False
5.72,22.22,5.43,0.735,0.17,1.23,0.57,4161,21724,0.242,0.1,1,True,False,False,False,False,False,False
1.75,22.05,7.69,0.48350901307030353,0.024,1.3,1.41,822,295,0.334,0.033,0,False,False,False,False,False,True,False
1.64,18.64,9.07,0.365,0.178,0.95,0.71,1426,264,0.258,0.035,1,False,False,False,True,False,False,False
3.99,18.99,4.0,0.628,0.014,1.2,0.89,5048,1152,0.034,0.009,1,False,False,True,False,False,False,False
3.73,18.886369916660076,4.36,0.614,0.098,0.67,1.01296489746021,7746,221,0.457,0.035,1,False,False,False,True,False,False,False
3.73,11.93,4.41,0.593,0.077,0.69,0.95,13543,422,0.043,0.013,1,False,True,False,False,False,False,False
2.71,21.84,5.2,0.556,0.014,0.73,1.04,2106,648,0.131,0.064,0,False,False,True,False,False,False,False
3.61,12.26,4.63,0.569,0.032,0.39,0.27,6025,331,0.087,0.10016648375000084,0,False,False,False,False,False,True,False
2.86,19.75,8.19,0.466,0.007,1.2986667143014083,1.77,2035,408,0.109,0.055,0,False,False,True,False,False,False,False
4.44,17.13,8.31,0.601,0.038,0.31,0.98,12797,1151,0.151,0.072,0,False,False,True,False,False,False,False
4.08,23.46,8.16393645552527,0.64,0.004,0.72,1.32,1277,2213,0.184,0.016,0,True,False,False,False,False,False,False
3.11,15.46,4.82,0.525,0.06,0.77,0.45,3258,288,0.074,0.059,0,False,False,False,True,False,False,False
3.02,17.929028008228983,6.36,0.485,0.026,0.7231128149758373,0.53,128,326,0.064,0.051,0,True,False,False,False,False,False,False
4.04,12.76,6.35,0.63,0.033,1.29,1.38,1107,1269,0.126,0.008,0,False,False,False,False,False,True,False
4.73,25.08,7.12,0.671,0.057230384156359976,1.35,1.32,29464,1387,0.061,0.008,0,False,True,False,False,False,False,False
4.3,15.5,4.99,0.596,0.081,1.82,1.76,8687,917,0.108,0.159,0,False,False,True,False,False,False,False
4.15,25.43,4.83,0.583,0.032,0.78,1.08,676,93,0.168,0.003,0,False,False,True,False,False,False,False
3.06,13.76,4.45,0.473,0.005,0.36,0.79,674,206,0.022,0.012,1,False,True,False,False,False,False,False
4.1,17.9,6.46,0.651,0.062,0.99,1.15,4881,1408,0.126,0.12,0,False,False,False,False,False,True,False
3.4816611945095244,20.45,6.03,0.532,0.015,0.84,0.57,2257,785,0.147,0.011,0,True,False,False,False,False,False,False
0.54,16.65,3.55,0.264,0.024,2.18,1.36,55,1140,0.017,0.005,1,False,True,False,False,False,False,False
1.38,15.296410009888524,9.74,0.392,0.002,0.79,0.96,305,115,0.066,0.089,0,False,True,False,False,False,False,False
2.73,17.81,6.46,0.517,0.011,1.42,1.7,351,2332,0.12900703911536696,0.0685687810818544,0,False,True,False,False,False,False,False
3.51,17.14,6.140010884310291,0.636,0.254,1.03,1.17,13853,1363,0.129,0.057,1,True,False,False,False,False,False,False
1.42,20.46,5.29,0.369,0.122,1.184926915191839,1.0977914360174423,864,139,0.128,0.015,1,False,True,False,False,False,False,False
2.41,21.11,8.3,0.494,0.047190323326437016,0.29,0.58,21081,2758,0.337,0.002,0,False,False,False,False,False,False,True
4.41,19.31,5.94,0.692,0.025,1.0,0.93,59344,284,0.224,0.073,1,False,False,False,False,False,True,False
2.61,15.57,3.86,0.46,0.009,0.26,1.13,1722,7717,0.414,0.006,1,False,False,False,False,False,False,True
1.98,24.91,8.61,0.44,0.007,0.99,0.92,576,664,0.19,0.08122746309311887,0,False,False,False,False,True,False,False
5.31,18.06,7.12,0.719,0.026,0.88,1.27,5220,846,0.137,0.028,1,False,False,False,True,False,False,False
1.95,22.45,8.35,0.388,0.036,0.05,0.47,6725,322,0.139,0.007,0,True,False,False,False,False,False,False
3.3,17.23,6.48,0.573,0.017,1.33,1.6049783465413499,864,223,0.701,0.001,1,False,False,True,False,False,False,False
6.51,22.17,2.5,0.836,0.079,1.02,1.064232107971395,24310,1296,0.143,0.138,1,True,False,False,False,False,False,False
3.73,14.37,7.47,0.577,0.066,0.61,1.1,729,285,0.028,0.018,0,False,True,False,False,False,False,False
3.68,15.01,4.8,0.573,0.019,1.9,1.95,2108,142,0.306,0.021,0,False,False,False,True,False,False,False
1.44,16.62,7.86,0.342,0.023,1.17,1.97,637,108,0.106,0.001,0,True,False,False,False,False,False,False
5.97,17.42,6.35,0.792,0.008,0.82,0.72,5267,415,0.073,0.054,1,False,False,False,True,False,False,False
4.27,20.14,6.08,0.619,0.008,0.25,0.71,14221,1939,0.118,0.025,0,False,False,False,False,False,True,False
3.29,18.64,6.03,0.537,0.031,1.25,0.93,3438,207,0.386,0.016,0,False,True,False,False,False,False,False
4.07,20.64,9.75,0.645,0.014,0.45,1.1,4338,1239,0.106,0.025,0,False,False,False,False,False,True,False
